ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,LIGHT,PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time,YYYY-MO-DD HH-MI-SS_SSS
-0.727,-9.49,-0.249,16,0,38.15,,,,NaN,,,,0 / 0,74909,2018-11-09 17:07:13:893
-0.153,-9.663,0.756,19,0,38.15,,,,NaN,,,,0 / 0,75009,2018-11-09 17:07:13:993
-0.833,-9.653,0.296,21,0,38.15,,,,NaN,,,,0 / 0,75108,2018-11-09 17:07:14:092
-0.794,-9.672,0.019,9,0,29.05,,,,NaN,,,,0 / 0,75208,2018-11-09 17:07:14:192
-0.756,-9.519,-0.268,3,0,29.05,,,,NaN,,,,0 / 0,75308,2018-11-09 17:07:14:292
-1.063,-9.701,-0.181,13,0,29.05,,,,NaN,,,,0 / 0,75408,2018-11-09 17:07:14:392
-0.9,-9.567,0.019,5,0,38.2,,,,NaN,,,,0 / 0,75508,2018-11-09 17:07:14:492
-0.679,-9.605,0.038,3,0,38.2,,,,NaN,,,,0 / 0,75608,2018-11-09 17:07:14:592
-0.814,-9.471,-0.076,11,0,38.2,,,,NaN,,,,0 / 0,75708,2018-11-09 17:07:14:692
-0.833,-9.596,0.057,20,0,35.62,,,,NaN,,,,0 / 0,75808,2018-11-09 17:07:14:792
-0.804,-9.452,-0.162,13,0,35.62,,,,NaN,,,,0 / 0,75909,2018-11-09 17:07:14:893
-0.737,-9.567,-0.086,5,0,35.62,,,,NaN,,,,0 / 0,76009,2018-11-09 17:07:14:993
-0.67,-9.538,0,17,0,31.04,,,,NaN,,,,0 / 0,76110,2018-11-09 17:07:15:094
-0.9,-9.538,-0.019,12,0,31.04,,,,NaN,,,,0 / 0,76209,2018-11-09 17:07:15:193
-0.861,-9.557,0.038,18,0,31.04,,,,NaN,,,,0 / 0,76309,2018-11-09 17:07:15:293
-0.794,-9.519,-0.057,23,0,35.61,,,,NaN,,,,0 / 0,76409,2018-11-09 17:07:15:393
-0.967,-9.615,0.181,2,0,35.61,,,,NaN,,,,0 / 0,76509,2018-11-09 17:07:15:493
-0.89,-9.567,-0.009,5,0,35.61,,,,NaN,,,,0 / 0,76610,2018-11-09 17:07:15:594
-1.024,-9.567,-0.038,11,0,36.76,,,,NaN,,,,0 / 0,76709,2018-11-09 17:07:15:693
-0.871,-9.615,0.057,10,0,36.76,,,,NaN,,,,0 / 0,76809,2018-11-09 17:07:15:793
-0.43,-9.519,0.028,10,0,36.76,,,,NaN,,,,0 / 0,76908,2018-11-09 17:07:15:892
-0.785,-9.605,-0.067,12,0,46.58,,,,NaN,,,,0 / 0,77009,2018-11-09 17:07:15:993
-0.9,-9.596,0,12,0,46.58,,,,NaN,,,,0 / 0,77109,2018-11-09 17:07:16:093
-0.861,-9.538,-0.335,5,0,46.58,,,,NaN,,,,0 / 0,77209,2018-11-09 17:07:16:193
-0.871,-9.625,-0.181,14,0,39.97,,,,NaN,,,,0 / 0,77309,2018-11-09 17:07:16:293
-0.948,-9.605,-0.191,16,0,39.97,,,,NaN,,,,0 / 0,77409,2018-11-09 17:07:16:393
-0.804,-9.557,-0.134,14,0,39.97,,,,NaN,,,,0 / 0,77509,2018-11-09 17:07:16:493
-0.89,-9.5,-0.181,4,0,41.17,,,,NaN,,,,0 / 0,77609,2018-11-09 17:07:16:593
-0.89,-9.605,-0.067,16,0,41.17,,,,NaN,,,,0 / 0,77709,2018-11-09 17:07:16:693
-0.708,-9.538,-0.21,15,0,41.17,,,,NaN,,,,0 / 0,77808,2018-11-09 17:07:16:792
-0.861,-9.49,-0.191,33,0,41.31,,,,NaN,,,,0 / 0,77909,2018-11-09 17:07:16:893
-0.603,-9.557,-0.076,13,0,41.31,,,,NaN,,,,0 / 0,78009,2018-11-09 17:07:16:993
-0.928,-9.615,-0.047,20,0,41.31,,,,NaN,,,,0 / 0,78109,2018-11-09 17:07:17:093
-0.957,-9.481,-0.363,24,0,39.26,,,,NaN,,,,0 / 0,78209,2018-11-09 17:07:17:193
-0.861,-9.529,0,1,0,39.26,,,,NaN,,,,0 / 0,78309,2018-11-09 17:07:17:293
-0.478,-9.548,-0.162,15,0,39.26,,,,NaN,,,,0 / 0,78409,2018-11-09 17:07:17:393
-0.66,-9.634,0.076,21,0,39.26,,,,NaN,,,,0 / 0,78509,2018-11-09 17:07:17:493
-0.756,-9.529,-0.296,18,0,33.11,,,,NaN,,,,0 / 0,78609,2018-11-09 17:07:17:593
-0.833,-9.5,-0.258,4,0,33.11,,,,NaN,,,,0 / 0,78708,2018-11-09 17:07:17:692
-0.871,-9.625,-0.162,13,0,33.11,,,,NaN,,,,0 / 0,78809,2018-11-09 17:07:17:793
-0.612,-9.548,-0.105,5,0,32.75,,,,NaN,,,,0 / 0,78909,2018-11-09 17:07:17:893
-0.545,-9.663,-0.028,11,0,32.75,,,,NaN,,,,0 / 0,79009,2018-11-09 17:07:17:993
-0.727,-9.73,-0.076,10,0,32.75,,,,NaN,,,,0 / 0,79109,2018-11-09 17:07:18:093
-1.005,-9.663,-0.153,3,0,27.57,,,,NaN,,,,0 / 0,79209,2018-11-09 17:07:18:193
-0.708,-9.73,0.459,17,0,27.57,,,,NaN,,,,0 / 0,79309,2018-11-09 17:07:18:293
-0.402,-9.548,-0.019,7,0,27.57,,,,NaN,,,,0 / 0,79409,2018-11-09 17:07:18:393
-0.814,-9.27,-0.019,15,0,38.8,,,,NaN,,,,0 / 0,79509,2018-11-09 17:07:18:493
-1.158,-9.615,0.469,3,0,38.8,,,,NaN,,,,0 / 0,79609,2018-11-09 17:07:18:593
-1.101,-9.356,0.584,7,0,38.8,,,,NaN,,,,0 / 0,79709,2018-11-09 17:07:18:693
-0.727,-9.49,0.277,9,0,42.06,,,,NaN,,,,0 / 0,79809,2018-11-09 17:07:18:793
-0.469,-9.538,0.076,21,0,42.06,,,,NaN,,,,0 / 0,79909,2018-11-09 17:07:18:893
-0.919,-9.567,-0.019,0,0,42.06,,,,NaN,,,,0 / 0,80009,2018-11-09 17:07:18:993
-0.153,-9.998,0.469,11,0,36.88,,,,NaN,,,,0 / 0,80109,2018-11-09 17:07:19:093
-0.689,-9.634,0.229,9,0,36.88,,,,NaN,,,,0 / 0,80209,2018-11-09 17:07:19:193
-0.881,-9.529,-0.21,0,0,36.88,,,,NaN,,,,0 / 0,80309,2018-11-09 17:07:19:293
-0.881,-9.596,-0.191,1,0,33.03,,,,NaN,,,,0 / 0,80409,2018-11-09 17:07:19:393
-0.785,-9.51,-0.229,11,0,33.03,,,,NaN,,,,0 / 0,80509,2018-11-09 17:07:19:493
-0.287,-9.577,-0.239,9,0,33.03,,,,NaN,,,,0 / 0,80609,2018-11-09 17:07:19:593
-0.565,-9.5,-0.143,17,0,38.51,,,,NaN,,,,0 / 0,80709,2018-11-09 17:07:19:693
-0.718,-9.778,-0.019,20,0,38.51,,,,NaN,,,,0 / 0,80809,2018-11-09 17:07:19:793
-1.082,-9.49,-0.249,10,0,38.51,,,,NaN,,,,0 / 0,80909,2018-11-09 17:07:19:893
-0.622,-9.682,-0.105,12,0,46.51,,,,NaN,,,,0 / 0,81009,2018-11-09 17:07:19:993
-0.976,-9.548,-0.162,15,0,46.51,,,,NaN,,,,0 / 0,81109,2018-11-09 17:07:20:093
-0.584,-9.49,-0.21,20,0,46.51,,,,NaN,,,,0 / 0,81209,2018-11-09 17:07:20:193
-0.383,-9.653,0.086,6,0,40.75,,,,NaN,,,,0 / 0,81309,2018-11-09 17:07:20:293
-0.335,-9.749,-0.009,2,0,40.75,,,,NaN,,,,0 / 0,81409,2018-11-09 17:07:20:393
-0.747,-9.529,-0.363,8,0,40.75,,,,NaN,,,,0 / 0,81509,2018-11-09 17:07:20:493
-0.632,-9.529,-0.421,11,0,38.56,,,,NaN,,,,0 / 0,81609,2018-11-09 17:07:20:593
-0.603,-9.711,-0.114,18,0,38.56,,,,NaN,,,,0 / 0,81708,2018-11-09 17:07:20:692
-0.43,-9.615,-0.134,12,0,38.56,,,,NaN,,,,0 / 0,81808,2018-11-09 17:07:20:792
-0.9,-9.72,0,14,0,33.5,,,,NaN,,,,0 / 0,81908,2018-11-09 17:07:20:892
-1.082,-9.567,0.028,10,0,33.5,,,,NaN,,,,0 / 0,82008,2018-11-09 17:07:20:992
-0.66,-9.452,0.114,13,0,33.5,,,,NaN,,,,0 / 0,82108,2018-11-09 17:07:21:092
-0.775,-9.653,0.411,22,0,29.89,,,,NaN,,,,0 / 0,82208,2018-11-09 17:07:21:192
-0.861,-9.471,0.258,16,0,29.89,,,,NaN,,,,0 / 0,82308,2018-11-09 17:07:21:292
-0.842,-9.577,0.067,9,0,29.89,,,,NaN,,,,0 / 0,82408,2018-11-09 17:07:21:392
-0.756,-9.404,0.047,20,0,37.75,,,,NaN,,,,0 / 0,82509,2018-11-09 17:07:21:493
-0.392,-9.615,0.335,5,0,37.75,,,,NaN,,,,0 / 0,82609,2018-11-09 17:07:21:593
-0.507,-9.672,0.574,20,0,37.75,,,,NaN,,,,0 / 0,82709,2018-11-09 17:07:21:693
-0.67,-9.519,-0.124,6,0,40.99,,,,NaN,,,,0 / 0,82809,2018-11-09 17:07:21:793
-0.651,-9.529,0,13,0,40.99,,,,NaN,,,,0 / 0,82909,2018-11-09 17:07:21:893
-0.775,-9.51,-0.047,8,0,40.99,,,,NaN,,,,0 / 0,83009,2018-11-09 17:07:21:993
-0.794,-9.634,-0.143,13,0,39.12,,,,NaN,,,,0 / 0,83109,2018-11-09 17:07:22:093
-0.181,-9.912,-0.44,32,0,39.12,,,,NaN,,,,0 / 0,83209,2018-11-09 17:07:22:193
-0.651,-9.433,-0.143,21,0,39.12,,,,NaN,,,,0 / 0,83309,2018-11-09 17:07:22:293
-1.158,-9.644,-0.258,13,0,42.86,,,,NaN,,,,0 / 0,83409,2018-11-09 17:07:22:393
0.057,-10.161,-0.766,9,0,42.86,,,,NaN,,,,0 / 0,83509,2018-11-09 17:07:22:493
-1.245,-9.49,-0.469,21,0,42.86,,,,NaN,,,,0 / 0,83609,2018-11-09 17:07:22:593
-0.938,-9.644,-0.086,16,0,47.71,,,,NaN,,,,0 / 0,83709,2018-11-09 17:07:22:693
-0.622,-9.519,-0.584,8,0,47.71,,,,NaN,,,,0 / 0,83809,2018-11-09 17:07:22:793
-0.938,-9.443,-0.201,21,0,47.71,,,,NaN,,,,0 / 0,83909,2018-11-09 17:07:22:893
-0.555,-9.672,-0.249,15,0,36.57,,,,NaN,,,,0 / 0,84009,2018-11-09 17:07:22:993
-0.249,-9.893,-0.191,21,0,36.57,,,,NaN,,,,0 / 0,84109,2018-11-09 17:07:23:093
-0.66,-9.51,-0.469,10,0,36.57,,,,NaN,,,,0 / 0,84209,2018-11-09 17:07:23:193
-0.526,-9.644,-0.536,13,0,35.52,,,,NaN,,,,0 / 0,84309,2018-11-09 17:07:23:293
-1.216,-9.653,-0.344,12,0,35.52,,,,NaN,,,,0 / 0,84409,2018-11-09 17:07:23:393
-0.689,-9.538,-0.373,18,0,35.52,,,,NaN,,,,0 / 0,84509,2018-11-09 17:07:23:493
-0.689,-9.557,-0.191,14,0,28.58,,,,NaN,,,,0 / 0,84609,2018-11-09 17:07:23:593
-0.651,-9.577,-0.239,12,0,28.58,,,,NaN,,,,0 / 0,84709,2018-11-09 17:07:23:693
-0.718,-9.567,-0.239,0,0,28.58,,,,NaN,,,,0 / 0,84809,2018-11-09 17:07:23:793
-0.679,-9.529,-0.296,9,0,30.83,,,,NaN,,,,0 / 0,84909,2018-11-09 17:07:23:893
-0.9,-9.577,-0.22,6,0,30.83,,,,NaN,,,,0 / 0,85009,2018-11-09 17:07:23:993
-0.785,-9.577,-0.249,26,0,30.83,,,,NaN,,,,0 / 0,85109,2018-11-09 17:07:24:093
-0.747,-9.49,-0.268,9,0,26.19,,,,NaN,,,,0 / 0,85209,2018-11-09 17:07:24:193
-0.756,-9.577,-0.268,22,0,26.19,,,,NaN,,,,0 / 0,85309,2018-11-09 17:07:24:293
-0.756,-9.644,-0.229,18,0,26.19,,,,NaN,,,,0 / 0,85409,2018-11-09 17:07:24:393
-0.679,-9.414,-0.354,3,0,39.5,,,,NaN,,,,0 / 0,85509,2018-11-09 17:07:24:493
-0.881,-9.586,0.095,7,0,39.5,,,,NaN,,,,0 / 0,85609,2018-11-09 17:07:24:593
-0.507,-9.73,-0.181,6,0,39.5,,,,NaN,,,,0 / 0,85709,2018-11-09 17:07:24:693
-0.938,-9.548,-0.43,2,0,35.94,,,,NaN,,,,0 / 0,85809,2018-11-09 17:07:24:793
-0.747,-9.653,-0.306,0,0,35.94,,,,NaN,,,,0 / 0,85909,2018-11-09 17:07:24:893
-0.699,-9.567,-0.478,16,0,35.94,,,,NaN,,,,0 / 0,86009,2018-11-09 17:07:24:993
-0.344,-9.136,1.13,13,0,35.94,,,,NaN,,,,0 / 0,86110,2018-11-09 17:07:25:094
-0.421,-9.404,-0.718,0,0,40.05,,,,NaN,,,,0 / 0,86209,2018-11-09 17:07:25:193
-0.287,-9.605,-0.076,0,0,40.05,,,,NaN,,,,0 / 0,86309,2018-11-09 17:07:25:293
-0.919,-9.653,-0.067,21,0,40.05,,,,NaN,,,,0 / 0,86409,2018-11-09 17:07:25:393
-0.766,-9.577,-0.239,30,0,44.07,,,,NaN,,,,0 / 0,86509,2018-11-09 17:07:25:493
-0.909,-9.548,-0.105,9,0,44.07,,,,NaN,,,,0 / 0,86609,2018-11-09 17:07:25:593
-0.555,-9.634,-0.258,15,0,44.07,,,,NaN,,,,0 / 0,86709,2018-11-09 17:07:25:693
-0.909,-9.557,-0.249,16,0,37.5,,,,NaN,,,,0 / 0,86809,2018-11-09 17:07:25:793
-0.66,-9.557,-0.354,4,0,37.5,,,,NaN,,,,0 / 0,86909,2018-11-09 17:07:25:893
-0.775,-9.51,-0.335,8,0,37.5,,,,NaN,,,,0 / 0,87009,2018-11-09 17:07:25:993
-0.641,-9.586,-0.44,23,0,37.97,,,,NaN,,,,0 / 0,87109,2018-11-09 17:07:26:093
-0.785,-9.644,-0.344,7,0,37.97,,,,NaN,,,,0 / 0,87209,2018-11-09 17:07:26:193
-0.948,-9.586,-0.287,15,0,37.97,,,,NaN,,,,0 / 0,87309,2018-11-09 17:07:26:293
-0.833,-9.538,-0.498,1,0,34.44,,,,NaN,,,,0 / 0,87409,2018-11-09 17:07:26:393
-0.938,-9.586,-0.373,13,0,34.44,,,,NaN,,,,0 / 0,87509,2018-11-09 17:07:26:493
-0.593,-9.49,-0.584,13,0,34.44,,,,NaN,,,,0 / 0,87609,2018-11-09 17:07:26:593
-0.814,-9.519,-0.239,0,0,45.18,,,,NaN,,,,0 / 0,87709,2018-11-09 17:07:26:693
-0.536,-9.577,-0.383,22,0,45.18,,,,NaN,,,,0 / 0,87809,2018-11-09 17:07:26:793
-0.986,-9.596,-0.392,12,0,45.18,,,,NaN,,,,0 / 0,87909,2018-11-09 17:07:26:893
-0.469,-9.519,-0.44,6,0,41.68,,,,NaN,,,,0 / 0,88009,2018-11-09 17:07:26:993
-0.804,-9.462,-0.392,16,0,41.68,,,,NaN,,,,0 / 0,88109,2018-11-09 17:07:27:093
-0.766,-9.596,-0.354,11,0,41.68,,,,NaN,,,,0 / 0,88209,2018-11-09 17:07:27:193
-0.641,-9.51,-0.306,12,0,29.99,,,,NaN,,,,0 / 0,88309,2018-11-09 17:07:27:293
-0.861,-9.548,-0.277,3,0,29.99,,,,NaN,,,,0 / 0,88409,2018-11-09 17:07:27:393
-0.794,-9.615,-0.153,24,0,29.99,,,,NaN,,,,0 / 0,88509,2018-11-09 17:07:27:493
-0.794,-9.49,-0.268,6,0,35.35,,,,NaN,,,,0 / 0,88609,2018-11-09 17:07:27:593
-0.785,-9.577,-0.287,3,0,35.35,,,,NaN,,,,0 / 0,88709,2018-11-09 17:07:27:693
-0.727,-9.586,-0.268,21,0,35.35,,,,NaN,,,,0 / 0,88809,2018-11-09 17:07:27:793
-0.727,-9.51,-0.239,16,0,31.17,,,,NaN,,,,0 / 0,88909,2018-11-09 17:07:27:893
-0.861,-9.586,-0.067,2,0,31.17,,,,NaN,,,,0 / 0,89009,2018-11-09 17:07:27:993
-0.928,-9.577,-0.296,5,0,31.17,,,,NaN,,,,0 / 0,89109,2018-11-09 17:07:28:093
-0.976,-9.557,-0.067,10,0,30.02,,,,NaN,,,,0 / 0,89209,2018-11-09 17:07:28:193
-0.842,-9.481,-0.392,23,0,30.02,,,,NaN,,,,0 / 0,89309,2018-11-09 17:07:28:293
-0.881,-9.452,-0.363,9,0,30.02,,,,NaN,,,,0 / 0,89409,2018-11-09 17:07:28:393
-0.718,-9.423,-0.459,17,0,38.18,,,,NaN,,,,0 / 0,89509,2018-11-09 17:07:28:493
-0.89,-9.519,-0.373,0,0,38.18,,,,NaN,,,,0 / 0,89609,2018-11-09 17:07:28:593
-0.584,-9.538,-0.478,7,0,38.18,,,,NaN,,,,0 / 0,89709,2018-11-09 17:07:28:693
-1.225,-9.557,-0.565,12,0,38.93,,,,NaN,,,,0 / 0,89809,2018-11-09 17:07:28:793
-0.258,-9.443,-0.325,16,0,38.93,,,,NaN,,,,0 / 0,89909,2018-11-09 17:07:28:893
-0.632,-9.538,0.114,17,0,38.93,,,,NaN,,,,0 / 0,90009,2018-11-09 17:07:28:993
-0.019,-10.161,0.277,7,0,40.57,,,,NaN,,,,0 / 0,90108,2018-11-09 17:07:29:092
-1.8,-11.09,5.104,14,0,40.57,,,,NaN,,,,0 / 0,90208,2018-11-09 17:07:29:192
-0.9,-12.459,3.639,10,0,40.57,,,,NaN,,,,0 / 0,90308,2018-11-09 17:07:29:292
-2.509,-8.092,1.982,18,0,47.19,,,,NaN,,,,0 / 0,90408,2018-11-09 17:07:29:392
-1.58,-7.594,3.294,5,0,47.19,,,,NaN,,,,0 / 0,90508,2018-11-09 17:07:29:492
-0.881,-6.483,4.673,9,0,47.19,,,,NaN,,,,0 / 0,90608,2018-11-09 17:07:29:592
-3.342,-8.887,6.905,2,0,53.37,,,,NaN,,,,0 / 0,90708,2018-11-09 17:07:29:692
-2.336,-10.429,3.409,23,0,53.37,,,,NaN,,,,0 / 0,90808,2018-11-09 17:07:29:792
-0.421,-6.196,-3.055,19,0,53.37,,,,NaN,,,,0 / 0,90908,2018-11-09 17:07:29:892
1.063,-11.885,2.02,13,0,51.76,,,,NaN,,,,0 / 0,91009,2018-11-09 17:07:29:993
-1.158,-9.337,0.871,6,0,51.76,,,,NaN,,,,0 / 0,91109,2018-11-09 17:07:30:093
1.053,-9.299,2.336,7,0,51.76,,,,NaN,,,,0 / 0,91209,2018-11-09 17:07:30:193
-0.919,-7.316,2.049,4,0,58.23,,,,NaN,,,,0 / 0,91309,2018-11-09 17:07:30:293
-1.206,-6.56,0.488,22,0,58.23,,,,NaN,,,,0 / 0,91409,2018-11-09 17:07:30:393
0.871,-8.772,0.871,9,0,58.23,,,,NaN,,,,0 / 0,91509,2018-11-09 17:07:30:493
-4.951,-19.614,3.007,18,0,48.17,,,,NaN,,,,0 / 0,91609,2018-11-09 17:07:30:593
-3.323,-11.109,0.565,2,0,48.17,,,,NaN,,,,0 / 0,91709,2018-11-09 17:07:30:693
0.114,2.116,-2.853,25,0,48.17,,,,NaN,,,,0 / 0,91809,2018-11-09 17:07:30:793
-0.938,-3.457,1.359,0,0,48.17,,,,NaN,,,,0 / 0,91909,2018-11-09 17:07:30:893
-0.948,-11.368,1.905,4,0,54.42,,,,NaN,,,,0 / 0,92009,2018-11-09 17:07:30:993
-3.342,-19.614,12.823,1,0,54.42,,,,NaN,,,,0 / 0,92109,2018-11-09 17:07:31:093
0.478,-13.321,-5.411,0,0,54.42,,,,NaN,,,,0 / 0,92209,2018-11-09 17:07:31:193
-3.026,-12.718,7.747,0,0,59.02,,,,NaN,,,,0 / 0,92309,2018-11-09 17:07:31:293
0.306,-6.397,2.873,16,0,59.02,,,,NaN,,,,0 / 0,92409,2018-11-09 17:07:31:393
2.509,-7.096,3.217,7,0,59.02,,,,NaN,,,,0 / 0,92509,2018-11-09 17:07:31:493
2.576,-19.269,7.91,8,0,57.4,,,,NaN,,,,0 / 0,92609,2018-11-09 17:07:31:593
-2.154,-16.74,4.003,7,0,57.4,,,,NaN,,,,0 / 0,92709,2018-11-09 17:07:31:693
-1.12,-0.871,0,7,0,57.4,,,,NaN,,,,0 / 0,92809,2018-11-09 17:07:31:793
-1.656,-4.233,1.187,13,0,51.09,,,,NaN,,,,0 / 0,92909,2018-11-09 17:07:31:893
2.365,-12.479,9.127,0,0,51.09,,,,NaN,,,,0 / 0,93009,2018-11-09 17:07:31:993
-3.763,-11.923,3.629,18,0,51.09,,,,NaN,,,,0 / 0,93109,2018-11-09 17:07:32:093
1.992,-11.875,-0.114,13,0,46.85,,,,NaN,,,,0 / 0,93209,2018-11-09 17:07:32:193
2.537,-10.975,1.206,19,0,46.85,,,,NaN,,,,0 / 0,93309,2018-11-09 17:07:32:293
-0.517,-10.984,4.051,10,0,46.85,,,,NaN,,,,0 / 0,93409,2018-11-09 17:07:32:393
-0.143,-7.297,0.086,30,0,57.61,,,,NaN,,,,0 / 0,93509,2018-11-09 17:07:32:493
0.66,-8.59,-0.833,15,0,57.61,,,,NaN,,,,0 / 0,93609,2018-11-09 17:07:32:593
-0.498,-18.876,7.92,13,0,57.61,,,,NaN,,,,0 / 0,93709,2018-11-09 17:07:32:693
-0.689,-13.398,-0.181,20,0,52.4,,,,NaN,,,,0 / 0,93809,2018-11-09 17:07:32:793
-0.555,-2.375,-1.015,12,0,52.4,,,,NaN,,,,0 / 0,93909,2018-11-09 17:07:32:893
-2.001,-3.457,0.354,23,0,52.4,,,,NaN,,,,0 / 0,94009,2018-11-09 17:07:32:993
-0.105,-12.249,10.333,8,0,57.26,,,,NaN,,,,0 / 0,94109,2018-11-09 17:07:33:093
-5.669,-12.086,0.526,3,0,57.26,,,,NaN,,,,0 / 0,94209,2018-11-09 17:07:33:193
2.241,-14.758,2.49,16,0,57.26,,,,NaN,,,,0 / 0,94309,2018-11-09 17:07:33:293
-0.651,-7.202,0.191,20,0,60.03,,,,NaN,,,,0 / 0,94409,2018-11-09 17:07:33:393
3.763,-9.289,1.551,14,0,60.03,,,,NaN,,,,0 / 0,94509,2018-11-09 17:07:33:493
-3.093,-4.625,0.536,9,0,60.03,,,,NaN,,,,0 / 0,94609,2018-11-09 17:07:33:593
2.049,-8.772,-1.426,13,0,54.78,,,,NaN,,,,0 / 0,94709,2018-11-09 17:07:33:693
-0.718,-16.405,7.613,12,0,54.78,,,,NaN,,,,0 / 0,94809,2018-11-09 17:07:33:793
-1.752,-10.343,2.576,17,0,54.78,,,,NaN,,,,0 / 0,94909,2018-11-09 17:07:33:893
-2.576,-3.074,1.273,13,0,55.06,,,,NaN,,,,0 / 0,95009,2018-11-09 17:07:33:993
-2.231,-5.506,1.225,25,0,55.06,,,,NaN,,,,0 / 0,95109,2018-11-09 17:07:34:093
0.507,-6.953,5.363,14,0,55.06,,,,NaN,,,,0 / 0,95209,2018-11-09 17:07:34:193
-3.629,-11.53,4.29,0,0,46.62,,,,NaN,,,,0 / 0,95309,2018-11-09 17:07:34:293
-1.053,-17.583,-4.089,4,0,46.62,,,,NaN,,,,0 / 0,95409,2018-11-09 17:07:34:393
-1.043,-6.541,-5.353,1,0,46.62,,,,NaN,,,,0 / 0,95509,2018-11-09 17:07:34:493
3.83,-10.668,8.964,18,0,60.44,,,,NaN,,,,0 / 0,95609,2018-11-09 17:07:34:593
-3.304,-8.217,5.229,0,0,60.44,,,,NaN,,,,0 / 0,95709,2018-11-09 17:07:34:693
0.258,-7.939,0.268,13,0,60.44,,,,NaN,,,,0 / 0,95809,2018-11-09 17:07:34:793
1.541,-12.134,2.518,19,0,55.64,,,,NaN,,,,0 / 0,95909,2018-11-09 17:07:34:893
-0.986,-18.167,-0.354,9,0,55.64,,,,NaN,,,,0 / 0,96008,2018-11-09 17:07:34:992
-0.316,-10.85,-1.915,9,0,55.64,,,,NaN,,,,0 / 0,96108,2018-11-09 17:07:35:092
-3.648,-7.518,0.584,24,0,57.16,,,,NaN,,,,0 / 0,96208,2018-11-09 17:07:35:192
-2.25,-6.368,4.29,3,0,57.16,,,,NaN,,,,0 / 0,96308,2018-11-09 17:07:35:292
-0.651,-7.949,3.17,7,0,57.16,,,,NaN,,,,0 / 0,96408,2018-11-09 17:07:35:392
0.047,-11.923,1.436,11,0,65.21,,,,NaN,,,,0 / 0,96508,2018-11-09 17:07:35:492
3.821,-11.54,-0.469,17,0,65.21,,,,NaN,,,,0 / 0,96608,2018-11-09 17:07:35:592
-4.242,-8.629,2.145,2,0,65.21,,,,NaN,,,,0 / 0,96708,2018-11-09 17:07:35:692
2.25,-10.668,5.755,14,0,48.79,,,,NaN,,,,0 / 0,96809,2018-11-09 17:07:35:793
-1.513,-6.751,2.71,12,0,48.79,,,,NaN,,,,0 / 0,96908,2018-11-09 17:07:35:892
1.216,-7.891,1.139,21,0,48.79,,,,NaN,,,,0 / 0,97008,2018-11-09 17:07:35:992
0.153,-17.679,5.851,7,0,49.6,,,,NaN,,,,0 / 0,97108,2018-11-09 17:07:36:092
0.392,-18.589,-1.647,0,0,49.6,,,,NaN,,,,0 / 0,97208,2018-11-09 17:07:36:192
-2.135,-5.028,0.498,19,0,49.6,,,,NaN,,,,0 / 0,97309,2018-11-09 17:07:36:293
-2.537,-2.269,0.229,16,0,52.82,,,,NaN,,,,0 / 0,97408,2018-11-09 17:07:36:392
-0.296,-9.012,3.074,8,0,52.82,,,,NaN,,,,0 / 0,97508,2018-11-09 17:07:36:492
0.507,-7.077,-1.455,20,0,52.82,,,,NaN,,,,0 / 0,97609,2018-11-09 17:07:36:593
-6.397,-19.614,4.338,14,0,45.24,,,,NaN,,,,0 / 0,97709,2018-11-09 17:07:36:693
6.656,-14.365,-0.861,6,0,45.24,,,,NaN,,,,0 / 0,97809,2018-11-09 17:07:36:793
-5.449,-3.754,-2.087,14,0,45.24,,,,NaN,,,,0 / 0,97909,2018-11-09 17:07:36:893
2.432,-8.207,5.65,3,0,52.26,,,,NaN,,,,0 / 0,98009,2018-11-09 17:07:36:993
0.095,-5.794,3.112,13,0,52.26,,,,NaN,,,,0 / 0,98109,2018-11-09 17:07:37:093
1.225,-16.089,9.567,13,0,52.26,,,,NaN,,,,0 / 0,98209,2018-11-09 17:07:37:193
-3.744,-13.187,1.446,18,0,52.26,,,,NaN,,,,0 / 0,98310,2018-11-09 17:07:37:294
-3.265,-2.834,0.028,14,0,54.18,,,,NaN,,,,0 / 0,98409,2018-11-09 17:07:37:393
-2.183,-3.352,-0.392,7,0,54.18,,,,NaN,,,,0 / 0,98509,2018-11-09 17:07:37:493
0.086,-11.827,7.527,14,0,54.18,,,,NaN,,,,0 / 0,98609,2018-11-09 17:07:37:593
0.296,-11.166,3.304,5,0,55,,,,NaN,,,,0 / 0,98709,2018-11-09 17:07:37:693
-1.206,-15.323,-1.34,6,0,55,,,,NaN,,,,0 / 0,98809,2018-11-09 17:07:37:793
-1.925,-7.786,-1.771,16,0,55,,,,NaN,,,,0 / 0,98909,2018-11-09 17:07:37:893
-0.019,-9.462,3.639,8,0,59.31,,,,NaN,,,,0 / 0,99008,2018-11-09 17:07:37:992
0.641,-9.059,7.441,16,0,59.31,,,,NaN,,,,0 / 0,99108,2018-11-09 17:07:38:092
-1.532,-4.692,0.21,14,0,59.31,,,,NaN,,,,0 / 0,99208,2018-11-09 17:07:38:192
-0.095,-19.614,9.874,3,0,53.74,,,,NaN,,,,0 / 0,99308,2018-11-09 17:07:38:292
