ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,LIGHT,PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time,YYYY-MO-DD HH-MI-SS_SSS
-3.917,-8.82,6.847,5,0,44.27,,,,NaN,,,,0 / 0,5308,2018-11-09 17:06:04:292
-4.031,-3.352,8.178,7,0,44.27,,,,NaN,,,,0 / 0,5408,2018-11-09 17:06:04:392
-6.052,-1.321,9.347,25,0,44.27,,,,NaN,,,,0 / 0,5509,2018-11-09 17:06:04:493
-5.602,-1.561,10.592,17,0,44.27,,,,NaN,,,,0 / 0,5608,2018-11-09 17:06:04:592
-3.62,-1.379,11.741,11,0,53.44,,,,NaN,,,,0 / 0,5708,2018-11-09 17:06:04:692
-4.28,0.507,12.335,11,0,53.44,,,,NaN,,,,0 / 0,5808,2018-11-09 17:06:04:792
-4.376,-0.45,11.454,12,0,53.44,,,,NaN,,,,0 / 0,5908,2018-11-09 17:06:04:892
-4.462,-2.298,10.496,18,0,60.32,,,,NaN,,,,0 / 0,6008,2018-11-09 17:06:04:992
-2.174,-5.181,8.973,6,0,60.32,,,,NaN,,,,0 / 0,6108,2018-11-09 17:06:05:092
-2.93,-6.186,6.79,5,0,60.32,,,,NaN,,,,0 / 0,6220,2018-11-09 17:06:05:204
-4.213,-9.107,4.29,9,0,59.06,,,,NaN,,,,0 / 0,6308,2018-11-09 17:06:05:292
-2.078,-6.512,2.221,14,0,59.06,,,,NaN,,,,0 / 0,6408,2018-11-09 17:06:05:392
-4.98,-8.351,3.17,14,0,59.06,,,,NaN,,,,0 / 0,6509,2018-11-09 17:06:05:493
-1.752,-11.061,0.938,2,0,55.59,,,,NaN,,,,0 / 0,6609,2018-11-09 17:06:05:593
-2.499,-9.127,1.695,10,0,55.59,,,,NaN,,,,0 / 0,6708,2018-11-09 17:06:05:692
-1.695,-10.036,-1.34,8,0,55.59,,,,NaN,,,,0 / 0,6808,2018-11-09 17:06:05:792
-3.361,-7.881,2.47,32,0,55.57,,,,NaN,,,,0 / 0,6908,2018-11-09 17:06:05:892
-2.241,-8.063,2.968,0,0,55.57,,,,NaN,,,,0 / 0,7008,2018-11-09 17:06:05:992
-3.859,-7.23,3.016,16,0,55.57,,,,NaN,,,,0 / 0,7108,2018-11-09 17:06:06:092
-2.518,-7.02,7.134,12,0,55.57,,,,NaN,,,,0 / 0,7208,2018-11-09 17:06:06:192
-3.217,-4.166,9.194,22,0,51.37,,,,NaN,,,,0 / 0,7308,2018-11-09 17:06:06:292
-4.922,-2.691,10.898,16,0,51.37,,,,NaN,,,,0 / 0,7408,2018-11-09 17:06:06:392
-3.955,-0.881,12.364,0,0,51.37,,,,NaN,,,,0 / 0,7508,2018-11-09 17:06:06:492
-5.593,0.814,9.51,20,0,51.43,,,,NaN,,,,0 / 0,7608,2018-11-09 17:06:06:592
-4.798,0.287,11.942,2,0,51.43,,,,NaN,,,,0 / 0,7708,2018-11-09 17:06:06:692
-4.271,-0.737,12.009,10,0,51.43,,,,NaN,,,,0 / 0,7809,2018-11-09 17:06:06:793
-3.658,-2.652,10.295,25,0,62.24,,,,NaN,,,,0 / 0,7909,2018-11-09 17:06:06:893
-4.06,-4.865,8.274,14,0,62.24,,,,NaN,,,,0 / 0,8008,2018-11-09 17:06:06:992
-1.532,-8.121,5.391,17,0,62.24,,,,NaN,,,,0 / 0,8108,2018-11-09 17:06:07:092
-0.938,-8.245,2.49,35,0,59.42,,,,NaN,,,,0 / 0,8208,2018-11-09 17:06:07:192
-3.083,-5.497,2.643,18,0,59.42,,,,NaN,,,,0 / 0,8308,2018-11-09 17:06:07:292
-2.413,-9.127,2.03,0,0,59.42,,,,NaN,,,,0 / 0,8408,2018-11-09 17:06:07:392
-2.739,-12.996,2.221,5,0,55.01,,,,NaN,,,,0 / 0,8508,2018-11-09 17:06:07:492
-2.576,-9.567,-0.383,0,0,55.01,,,,NaN,,,,0 / 0,8609,2018-11-09 17:06:07:593
-2.729,-9.337,3.648,14,0,55.01,,,,NaN,,,,0 / 0,8708,2018-11-09 17:06:07:692
-5.123,-5.928,1.934,15,0,54.57,,,,NaN,,,,0 / 0,8808,2018-11-09 17:06:07:792
-1.436,-8.916,2.375,0,0,54.57,,,,NaN,,,,0 / 0,8908,2018-11-09 17:06:07:892
-3.39,-7.91,4.75,5,0,54.57,,,,NaN,,,,0 / 0,9009,2018-11-09 17:06:07:993
-5.468,-2.892,8.265,8,0,54.57,,,,NaN,,,,0 / 0,9109,2018-11-09 17:06:08:093
-5.008,-5.65,8.274,31,0,46.67,,,,NaN,,,,0 / 0,9208,2018-11-09 17:06:08:192
-5.238,-1.312,9.299,13,0,46.67,,,,NaN,,,,0 / 0,9308,2018-11-09 17:06:08:292
-5.746,-1.158,12.593,8,0,46.67,,,,NaN,,,,0 / 0,9408,2018-11-09 17:06:08:392
-4.549,-0.536,14.078,6,0,52.2,,,,NaN,,,,0 / 0,9508,2018-11-09 17:06:08:492
-4.252,-1.12,12.632,14,0,52.2,,,,NaN,,,,0 / 0,9608,2018-11-09 17:06:08:592
-5.056,-2.288,11.195,6,0,52.2,,,,NaN,,,,0 / 0,9708,2018-11-09 17:06:08:692
-3.811,-3.85,8.341,6,0,66.09,,,,NaN,,,,0 / 0,9808,2018-11-09 17:06:08:792
-2.643,-6.838,6.953,11,0,66.09,,,,NaN,,,,0 / 0,9908,2018-11-09 17:06:08:892
-2.202,-7.996,3.237,9,0,66.09,,,,NaN,,,,0 / 0,10008,2018-11-09 17:06:08:992
-1.302,-5.995,2.403,10,0,64.44,,,,NaN,,,,0 / 0,10109,2018-11-09 17:06:09:093
-2.978,-6.818,3.639,8,0,64.44,,,,NaN,,,,0 / 0,10208,2018-11-09 17:06:09:192
-1.043,-11.799,1.561,4,0,64.44,,,,NaN,,,,0 / 0,10308,2018-11-09 17:06:09:292
-1.168,-9.165,-0.593,7,0,64.44,,,,NaN,,,,0 / 0,10408,2018-11-09 17:06:09:392
-2.509,-9.692,1.695,0,0,57.01,,,,NaN,,,,0 / 0,10508,2018-11-09 17:06:09:492
-2.078,-7.508,3.246,1,0,57.01,,,,NaN,,,,0 / 0,10608,2018-11-09 17:06:09:592
-2.288,-7.518,1.158,8,0,57.01,,,,NaN,,,,0 / 0,10709,2018-11-09 17:06:09:693
-2.633,-7.259,2.758,23,0,52.57,,,,NaN,,,,0 / 0,10808,2018-11-09 17:06:09:792
-3.38,-7.182,5.803,19,0,52.57,,,,NaN,,,,0 / 0,10909,2018-11-09 17:06:09:893
-2.624,-3.773,6.771,2,0,52.57,,,,NaN,,,,0 / 0,11008,2018-11-09 17:06:09:992
-6.004,-0.986,10.372,3,0,47.74,,,,NaN,,,,0 / 0,11108,2018-11-09 17:06:10:092
-5.181,-0.603,10.419,21,0,47.74,,,,NaN,,,,0 / 0,11208,2018-11-09 17:06:10:192
-7.249,-0.641,12.249,14,0,47.74,,,,NaN,,,,0 / 0,11308,2018-11-09 17:06:10:292
-4.97,-0.086,11.339,17,0,58.28,,,,NaN,,,,0 / 0,11408,2018-11-09 17:06:10:392
-3.897,-1.484,11.291,6,0,58.28,,,,NaN,,,,0 / 0,11508,2018-11-09 17:06:10:492
-5.123,-2.614,9.711,19,0,58.28,,,,NaN,,,,0 / 0,11608,2018-11-09 17:06:10:592
-3.955,-4.462,7.508,9,0,65.46,,,,NaN,,,,0 / 0,11708,2018-11-09 17:06:10:692
-1.685,-7.518,5.755,10,0,65.46,,,,NaN,,,,0 / 0,11808,2018-11-09 17:06:10:792
-2.346,-7.661,3.227,15,0,65.46,,,,NaN,,,,0 / 0,11909,2018-11-09 17:06:10:893
-1.197,-8.073,2.384,11,0,63.37,,,,NaN,,,,0 / 0,12009,2018-11-09 17:06:10:993
-4.223,-9.299,1.934,11,0,63.37,,,,NaN,,,,0 / 0,12108,2018-11-09 17:06:11:092
-1.532,-10.123,0.785,16,0,63.37,,,,NaN,,,,0 / 0,12208,2018-11-09 17:06:11:192
-2.317,-10.142,1.149,10,0,50.75,,,,NaN,,,,0 / 0,12308,2018-11-09 17:06:11:292
-1.599,-9.347,0.478,11,0,50.75,,,,NaN,,,,0 / 0,12408,2018-11-09 17:06:11:392
-1.963,-9.146,2.212,0,0,50.75,,,,NaN,,,,0 / 0,12508,2018-11-09 17:06:11:492
-2.614,-8.092,0.852,19,0,50.75,,,,NaN,,,,0 / 0,12608,2018-11-09 17:06:11:592
-0.919,-6.589,3.514,9,0,50.23,,,,NaN,,,,0 / 0,12708,2018-11-09 17:06:11:692
-3.16,-7.949,4.348,11,0,50.23,,,,NaN,,,,0 / 0,12809,2018-11-09 17:06:11:793
-2.729,-6.311,7.125,0,0,50.23,,,,NaN,,,,0 / 0,12908,2018-11-09 17:06:11:892
-4.07,-5.612,11.291,17,0,41.93,,,,NaN,,,,0 / 0,13008,2018-11-09 17:06:11:992
-4.788,-2.02,11.339,12,0,41.93,,,,NaN,,,,0 / 0,13108,2018-11-09 17:06:12:092
-5.679,0.057,10.103,1,0,41.93,,,,NaN,,,,0 / 0,13208,2018-11-09 17:06:12:192
-5.985,-0.488,13.139,15,0,52.74,,,,NaN,,,,0 / 0,13308,2018-11-09 17:06:12:292
-4.798,-2.652,11.31,24,0,52.74,,,,NaN,,,,0 / 0,13409,2018-11-09 17:06:12:393
-3.782,-3.371,9.031,22,0,52.74,,,,NaN,,,,0 / 0,13508,2018-11-09 17:06:12:492
-3.802,-4.539,7.767,18,0,62.11,,,,NaN,,,,0 / 0,13608,2018-11-09 17:06:12:592
-2.375,-6.071,6.397,22,0,62.11,,,,NaN,,,,0 / 0,13709,2018-11-09 17:06:12:693
-2.806,-7.881,4.29,6,0,62.11,,,,NaN,,,,0 / 0,13808,2018-11-09 17:06:12:792
-2.355,-6.771,2.643,7,0,62.19,,,,NaN,,,,0 / 0,13908,2018-11-09 17:06:12:892
-2.183,-7.489,2.614,23,0,62.19,,,,NaN,,,,0 / 0,14008,2018-11-09 17:06:12:992
-2.681,-11.157,2.327,11,0,62.19,,,,NaN,,,,0 / 0,14108,2018-11-09 17:06:13:092
-2.097,-9.605,0.679,13,0,52.56,,,,NaN,,,,0 / 0,14208,2018-11-09 17:06:13:192
-2.106,-9.596,0.632,13,0,52.56,,,,NaN,,,,0 / 0,14309,2018-11-09 17:06:13:293
-1.494,-8.715,2.844,17,0,52.56,,,,NaN,,,,0 / 0,14408,2018-11-09 17:06:13:392
-1.886,-7.824,1.139,22,0,52.56,,,,NaN,,,,0 / 0,14509,2018-11-09 17:06:13:493
-3.189,-7.336,2.806,7,0,49.47,,,,NaN,,,,0 / 0,14608,2018-11-09 17:06:13:592
-1.896,-7.115,5.43,9,0,49.47,,,,NaN,,,,0 / 0,14709,2018-11-09 17:06:13:693
-4.194,-4.28,8.217,0,0,49.47,,,,NaN,,,,0 / 0,14809,2018-11-09 17:06:13:793
-4.577,-5.43,9.308,12,0,47.57,,,,NaN,,,,0 / 0,14908,2018-11-09 17:06:13:892
-5.305,-1.264,11.569,11,0,47.57,,,,NaN,,,,0 / 0,15009,2018-11-09 17:06:13:993
-3.591,-0.373,11.722,0,0,47.57,,,,NaN,,,,0 / 0,15108,2018-11-09 17:06:14:092
-5.832,-0.258,14.049,17,0,57.02,,,,NaN,,,,0 / 0,15208,2018-11-09 17:06:14:192
-5.832,-1.273,12.086,9,0,57.02,,,,NaN,,,,0 / 0,15308,2018-11-09 17:06:14:292
-5.085,-3.533,9.998,17,0,57.02,,,,NaN,,,,0 / 0,15409,2018-11-09 17:06:14:393
-3.715,-5.344,7.632,5,0,61.73,,,,NaN,,,,0 / 0,15508,2018-11-09 17:06:14:492
-3.715,-6.799,6.416,26,0,61.73,,,,NaN,,,,0 / 0,15608,2018-11-09 17:06:14:592
-2.921,-8.044,3.648,0,0,61.73,,,,NaN,,,,0 / 0,15708,2018-11-09 17:06:14:692
-2.384,-7.355,2.288,15,0,59.03,,,,NaN,,,,0 / 0,15808,2018-11-09 17:06:14:792
-1.877,-5.995,3.275,13,0,59.03,,,,NaN,,,,0 / 0,15908,2018-11-09 17:06:14:892
-2.94,-12.095,2.47,9,0,59.03,,,,NaN,,,,0 / 0,16008,2018-11-09 17:06:14:992
-1.465,-9.529,-0.641,16,0,54.12,,,,NaN,,,,0 / 0,16108,2018-11-09 17:06:15:092
-2.375,-9.596,2.174,7,0,54.12,,,,NaN,,,,0 / 0,16208,2018-11-09 17:06:15:192
-1.877,-9.328,1.896,14,0,54.12,,,,NaN,,,,0 / 0,16308,2018-11-09 17:06:15:292
-2.183,-7.834,1.158,26,0,53.7,,,,NaN,,,,0 / 0,16408,2018-11-09 17:06:15:392
